num_users,algorithm,model,seed,percentage,layers_for_count,average_pverlap_labels
10,ours,lenet5,cifar10,1,0.2,5,1.0
10,sub_fedavg,lenet5,cifar10,1,0.2,5,0.7
10,sub_fedavg,lenet5,cifar10,2,0.2,5,0.7
10,sub_fedavg,lenet5,cifar10,3,0.2,5,0.8
10,ours,lenet5,cifar10,2,0.2,5,0.6
10,ours,lenet5,cifar10,3,0.2,5,0.9
10,sub_fedavg,lenet5,cifar10,1,0.3,5,0.55
10,ours,lenet5,cifar10,1,0.3,5,0.8
10,sub_fedavg,lenet5,cifar10,2,0.3,5,0.55
10,ours,lenet5,cifar10,2,0.3,5,0.6
10,sub_fedavg,lenet5,cifar10,3,0.3,5,0.7
10,ours,lenet5,cifar10,3,0.3,5,0.65
10,fedspa,lenet5,cifar10,1,0.3,5,0.45
10,fedspa,lenet5,cifar10,2,0.3,5,0.6
10,fedspa,lenet5,cifar10,3,0.3,5,0.7
10,fedspa,lenet5,cifar10,1,0.2,5,0.5
10,fedspa,lenet5,cifar10,2,0.2,5,0.7
10,fedspa,lenet5,cifar10,3,0.2,5,0.9
10,sub_fedavg,lenet5,cifar10,1,0.3,1,0.6
10,ours,lenet5,cifar10,1,0.3,1,0.85
10,fedspa,lenet5,cifar10,1,0.3,1,0.4444444444444444
10,sub_fedavg,lenet5,cifar10,2,0.3,1,0.55
10,ours,lenet5,cifar10,2,0.3,1,0.5
10,fedspa,lenet5,cifar10,2,0.3,1,0.4444444444444444
10,sub_fedavg,lenet5,cifar10,3,0.3,1,0.7
10,ours,lenet5,cifar10,3,0.3,1,0.6
10,fedspa,lenet5,cifar10,3,0.3,1,0.4444444444444444
10,sub_fedavg,lenet5,cifar10,1,0.2,1,0.6
10,ours,lenet5,cifar10,1,0.2,1,0.9
10,fedspa,lenet5,cifar10,1,0.2,1,0.6111111111111112
10,fedspa,lenet5,cifar10,2,0.2,1,0.6111111111111112
10,ours,lenet5,cifar10,2,0.2,1,0.5
10,sub_fedavg,lenet5,cifar10,2,0.2,1,0.7
10,sub_fedavg,lenet5,cifar10,3,0.2,1,0.8
10,ours,lenet5,cifar10,3,0.2,1,0.9
10,fedspa,lenet5,cifar10,3,0.2,1,0.6111111111111112
10,ours,lenet5,cifar10,1,0.2,5,1.0
10,ours,lenet5,cifar10,1,0.2,5,mask ratio of top k related clients,0.9832559628621738,0.9956512459313804,1.0126063645046455
10,ours,lenet5,cifar10,1,0.2,5,1.0
10,ours,lenet5,cifar10,1,0.2,5,mask ratio of top k related clients,0.9832559628621738,0.9956512459313804,1.0126063645046455
10,ours,lenet5,cifar10,1,0.2,5,1.0
10,ours,lenet5,cifar10,1,0.2,5,1.0
10,ours,lenet5,cifar10,1,0.2,5,1.0
10,ours,lenet5,cifar10,1,0.2,5,1.0
10,ours,lenet5,cifar10,1,0.2,5,1.0
10,ours,lenet5,cifar10,1,0.2,5,mask ratio of top k related clients,0.9805009290906805,0.9877251488352146,1.0073678866895452
